Floor name,Rooms,Balconies,Doors,Windows,Height [cm],Gross area [m²],Area [m²],Wall area [m²],Door area [m²],Window area [m²],Rooms perimeter [cm]
2nd floor,12,0,26,21,274,249.55,199.25,488.64,34.37,17.52,19560
,,,,,,,,,,,,
Room name,Walls,Interior walls,Doors,Windows,Width [cm],Length [cm],Area [m²],Wall area [m²],Door area [m²],Window area [m²],Perimeter
Lady Iliffe's Bedroom,4,9,1,3,538,400,21.52,47.54,1.43,2.49,1876
Room,4,6,0,1,293,400,11.74,37.21,0,0.83,1387
Room,6,2,2,3,666,627,38.45,59.9,2.71,2.51,2374
1950's Office,4,0,1,1,220,400,8.81,31.87,1.32,0.83,1240
Room,4,1,4,0,132,400,5.28,23.09,6.11,0,1064
Green Chintz Room,6,2,2,2,418,400,16.14,40.5,2.75,1.6,1635
Room,4,4,2,4,824,400,32.96,60.95,2.76,3.43,2448
Crimson Room,4,0,2,2,491,400,19.62,44.55,2.64,1.66,1781
Bamboo Bedroom,6,0,2,2,350,400,13.54,36.83,2.64,1.66,1499
Bamboo Dressing Room,4,0,2,1,360,255,9.17,30.26,2.64,0.83,1230
Shell Room,4,0,2,2,360,400,14.41,37.29,2.75,1.66,1520
7.61 m²,4,0,2,0,120,632,7.61,38.64,2.64,0,1505
,,,,,,,,,,,,
Object,Room,Count,Width [cm],Height [cm],Depth [cm],,,,,,
Cylinder,,4,50,100,50,,,,,,
Fireplace,,2,100,95,60,,,,,,
Horizontal cylinder,,3,100,20,20,,,,,,
Horizontal cylinder,,2,57,20,20,,,,,,
Ladder,,2,79,250,41,,,,,,
Landing,,1,115,20,439,,,,,,
Landing,,1,100,20,286,,,,,,
Landing,,1,87,20,176,,,,,,
Stairs,,1,91,250,244,,,,,,
Stairs,,1,91,250,143,,,,,,
Fireplace,1950's Office,1,100,95,43,,,,,,
Fireplace,Bamboo Bedroom,1,100,95,60,,,,,,
Fireplace,Bamboo Dressing Room,1,100,95,60,,,,,,
Fireplace,Crimson Room,1,100,95,38,,,,,,
Fireplace,Green Chintz Room,1,100,95,60,,,,,,
Fireplace,Lady Iliffe's Bedroom,1,120,95,60,,,,,,
Box,Room,1,63,100,67,,,,,,
Landing,Room,1,100,20,875,,,,,,
,,,,,,,,,,,,
Object,Count,Width [cm],Height [cm],,,,,,,,
Door,1,72,200,,,,,,,,
Door,4,71,200,,,,,,,,
Door,8,66,200,,,,,,,,
Door,1,63,200,,,,,,,,
Opening,1,102,200,,,,,,,,
Opening,2,72,200,,,,,,,,
Opening,5,66,200,,,,,,,,
Opening,3,51,200,,,,,,,,
Opening,1,39,200,,,,,,,,
Window,1,94,100,,,,,,,,
Window,2,87,100,,,,,,,,
Window,16,83,100,,,,,,,,
Window,2,77,100,,,,,,,,
,,,,,,,,,,,,
Room name,Wall,Object,Count,Width [cm],Height [cm],,,,,,
Lady Iliffe's Bedroom,Exterior,,,538,274,,,,,,
,,Window,1,83,100,,,,,,
,Exterior,,,400,274,,,,,,
,,Window,2,83,100,,,,,,
,Interior,,,121,274,,,,,,
,,Opening,1,72,200,,,,,,
,Interior,,,112,274,,,,,,
,,Door,1,72,200,,,,,,
,Interior,,,507,274,,,,,,
,,Opening,2,66,200,,,,,,
,Interior,,,120,274,,,,,,
,,Door,1,66,200,,,,,,
,Interior,,,120,274,,,,,,
,,Door,1,66,200,,,,,,
,Interior,,,148,274,,,,,,
,,Door,1,66,200,,,,,,
Room,Exterior,,,293,274,,,,,,
,,Window,1,83,100,,,,,,
,Interior,,,311,274,,,,,,
,,Door,1,71,200,,,,,,
,Interior,,,222,274,,,,,,
,,Door,1,71,200,,,,,,
,Interior,,,77,274,,,,,,
,,Opening,1,51,200,,,,,,
,Interior,,,85,274,,,,,,
,,Opening,1,51,200,,,,,,
Room,Exterior,,,278,274,,,,,,
,,Window,1,87,100,,,,,,
,Exterior,,,266,274,,,,,,
,,Window,1,77,100,,,,,,
,Exterior,,,233,274,,,,,,
,,Window,1,87,100,,,,,,
,Exterior,,,627,274,,,,,,
,,Door,1,63,200,,,,,,
1950's Office,Exterior,,,220,274,,,,,,
,,Window,1,83,100,,,,,,
Room,Exterior,,,132,274,,,,,,
,,Opening,1,102,200,,,,,,
,Exterior,,,400,274,,,,,,
,,Opening,1,66,200,,,,,,
,Interior,,,132,274,,,,,,
,,Opening,1,39,200,,,,,,
Green Chintz Room,Exterior,,,378,274,,,,,,
,,Door,1,71,200,,,,,,
,,Opening,1,66,200,,,,,,
,Exterior,,,418,274,,,,,,
,,Window,1,83,100,,,,,,
,Exterior,,,400,274,,,,,,
,,Window,1,77,100,,,,,,
,Interior,,,132,274,,,,,,
,,Opening,1,51,200,,,,,,
Room,Exterior,,,824,274,,,,,,
,,Opening,1,72,200,,,,,,
,,Opening,1,66,200,,,,,,
,Exterior,,,400,274,,,,,,
,,Window,1,94,100,,,,,,
,Exterior,,,824,274,,,,,,
,,Window,3,83,100,,,,,,
Crimson Room,Exterior,,,491,274,,,,,,
,,Door,1,66,200,,,,,,
,Exterior,,,491,274,,,,,,
,,Window,2,83,100,,,,,,
Bamboo Bedroom,Exterior,,,400,274,,,,,,
,,Window,2,83,100,,,,,,
,Exterior,,,338,274,,,,,,
,,Door,1,66,200,,,,,,
,Exterior,,,378,274,,,,,,
,,Door,1,66,200,,,,,,
Bamboo Dressing Room,Exterior,,,255,274,,,,,,
,,Door,1,66,200,,,,,,
,Exterior,,,255,274,,,,,,
,,Window,1,83,100,,,,,,
Shell Room,Exterior,,,360,274,,,,,,
,,Door,1,71,200,,,,,,
,Exterior,,,400,274,,,,,,
,,Door,1,66,200,,,,,,
,Exterior,,,400,274,,,,,,
,,Window,2,83,100,,,,,,
